id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,in_reply_to_screen_name,in_reply_to_status_id,user_mention,hashtags,query,url,media,lat,lng
448405476775321600,https://twitter.com/pixievondust/status/448405476775321600,2014-03-25 10:26:11+00:00,RT @dri_ireland: Overcoming barriers to data sharing: http://t.co/hDOflO0rMO Great article leading up to #RDAPlenary next week. @resdatall …,en,6,pixievondust,,dri_ireland,RDAPlenary,#rdaplenary,http://www.isgtw.org/feature/digital-humanities-overcoming-barriers-data-sharing,,,,
448406532234149888,https://twitter.com/HermanStehouwer/status/448406532234149888,2014-03-25 10:30:22+00:00,"RT @natalieharrower: Preparing the event Twitterwall. Get your hashtags ready, participants at #RDAPlenary https://t.co/31fruqlvkL",en,2,HermanStehouwer,,natalieharrower,RDAPlenary,#rdaplenary,https://rd-alliance.org/rda-third-plenary-meeting.html,,,,
448406596339912704,https://twitter.com/HermanStehouwer/status/448406596339912704,2014-03-25 10:30:38+00:00,RT @andsdata: #RDAPlenary kicks off this Wed. Oz Chief Scientist to give 1st keynote. Live stream http://t.co/jMhfs4WhZ8  More info http://…,en,1,HermanStehouwer,,andsdata,RDAPlenary,#rdaplenary,http://ow.ly/uSVuO,,,,
448410397347811329,https://twitter.com/realmmc/status/448410397347811329,2014-03-25 10:45:44+00:00,RT @dri_ireland: Happy to be kicking off #RDAPlenary with the Newcomers' session. Here's your atmosphere for the afternoon @RIAdawson http:…,en,8,realmmc,https://pbs.twimg.com/media/BjkB3jHIcAA2RJl.jpg,dri_ireland,RDAPlenary,#rdaplenary,,,,,
448412994876506112,https://twitter.com/Beck_Grant/status/448412994876506112,2014-03-25 10:56:03+00:00,RT @dri_ireland: Happy to be kicking off #RDAPlenary with the Newcomers' session. Here's your atmosphere for the afternoon @RIAdawson http:…,en,8,Beck_Grant,https://pbs.twimg.com/media/BjkB3jHIcAA2RJl.jpg,dri_ireland,RDAPlenary,#rdaplenary,,,,,
448418296904179712,https://twitter.com/HermanStehouwer/status/448418296904179712,2014-03-25 11:17:08+00:00,Where we are having most our #RDAPlenary meetings. http://t.co/y6Sd0SiO3C,en,0,HermanStehouwer,https://pbs.twimg.com/media/BjkaELJCYAA23WP.jpg,,RDAPlenary,#rdaplenary,,,,,
448431341202587648,https://twitter.com/kevingashley/status/448431341202587648,2014-03-25 12:08:57+00:00,"Discovering what #SIM4RDM has been up to prior to getting on with the #RDAPlenary in earnest. Here in Dub Bell Inn, Iyerland.",en,0,kevingashley,,,SIM4RDM,#rdaplenary,,,,,
448431397632737280,https://twitter.com/HughShanahan/status/448431397632737280,2014-03-25 12:09:11+00:00,In Dublin for the 3rd RDA plenary #RDAPlenary should be good.,en,0,HughShanahan,,,RDAPlenary,#rdaplenary,,,,,
448433042135453696,https://twitter.com/gmcmahon/status/448433042135453696,2014-03-25 12:15:43+00:00,Geistiges Eigentum in intellectual property @ #EUDAT #RDAPlenary,de,0,gmcmahon,,,EUDAT,#rdaplenary,,,,,
448435403071422464,https://twitter.com/andsdata/status/448435403071422464,2014-03-25 12:25:06+00:00,Representing #andsdata @ tomorrow's #RDAPlenary = @thedatabadger @atreloar @stefaniekethers @amir_at_ands &amp; Adrian Burton. Say hi!,en,0,andsdata,,thedatabadger,andsdata,#rdaplenary,,,,,
448438362186481664,https://twitter.com/AaJee82/status/448438362186481664,2014-03-25 12:36:51+00:00,Tomorrow @ #RDAPlenary!,en,0,AaJee82,,,RDAPlenary,#rdaplenary,,,,,
448444920135950336,https://twitter.com/veerle_vv/status/448444920135950336,2014-03-25 13:02:55+00:00,"Presenting new handbook ""Managing &amp; Sharing Research Data"" at #RDAPlenary today 4-6 pm, Croke Park Conf Centre https://t.co/Fnf9oR5miM",en,2,veerle_vv,,,RDAPlenary,#rdaplenary,https://www.rd-alliance.org/research-data-management-social-science-coalface.html,,,,
448446938455613441,https://twitter.com/HughShanahan/status/448446938455613441,2014-03-25 13:10:56+00:00,I may find myself staring at the view and living childhood dreams than paying attention to the talks #RDAplenary http://t.co/AaLnv3v0ZI,en,0,HughShanahan,https://pbs.twimg.com/media/Bjk0HVPCIAEWcDZ.jpg,,RDAplenary,#rdaplenary,,,,,
448451557399740416,https://twitter.com/rwwh/status/448451557399740416,2014-03-25 13:29:17+00:00,"David Giretta at #aparsen #rdaplenary:Data is *not* the new gold, it has high value,but gold is rare, does not combine, and does not perish.",en,0,rwwh,,,aparsen,#rdaplenary,,,,,
448454545178652672,https://twitter.com/bolikowski/status/448454545178652672,2014-03-25 13:41:10+00:00,I'm at the #RDAplenary in Royal Irish Academy. Nice venue! http://t.co/aLg51sSmuU,en,0,bolikowski,https://pbs.twimg.com/media/Bjk7CBvIAAAlDMv.jpg,,RDAplenary,#rdaplenary,,,,,
448456896157331458,https://twitter.com/skreilly/status/448456896157331458,2014-03-25 13:50:30+00:00,Just arrived in Dublin for #RDAPlenary. Strange to be here with my work hat on,en,0,skreilly,,,RDAPlenary,#rdaplenary,,,,,
448457888584196096,https://twitter.com/Holo_08/status/448457888584196096,2014-03-25 13:54:27+00:00,"Today in Dublin to présent our 2 groups ""agricultural data"" and ""wheat data interop"" to the newcomers  #RDAPlenary http://t.co/2xmsXqRqFc",en,0,Holo_08,https://pbs.twimg.com/media/Bjk-EtEIYAAy8z7.jpg,,RDAPlenary,#rdaplenary,,,,,
448460547449966593,https://twitter.com/myrmoteras/status/448460547449966593,2014-03-25 14:05:01+00:00,Sitting at the RDA meeting in Dublib #rdaplenary @resdatall  @plazi_ch,en,0,myrmoteras,,resdatall,rdaplenary,#rdaplenary,,,,,
448461898577903616,https://twitter.com/vtenhunen/status/448461898577903616,2014-03-25 14:10:23+00:00,#RDAPlenary pre-conference event take a place at library of Royal Irish Academy. http://t.co/6MeovnqQUE,en,0,vtenhunen,https://pbs.twimg.com/media/BjlBuHDIUAAuX65.jpg,,RDAPlenary,#rdaplenary,,,,,
448462154023567360,https://twitter.com/natalieharrower/status/448462154023567360,2014-03-25 14:11:24+00:00,Prof Mary Daly opens the RDA for Newcomers session #RDAPlenary http://t.co/RYz6CYIbKV,en,1,natalieharrower,https://pbs.twimg.com/media/BjlB8-xIgAAy16K.jpg,,RDAPlenary,#rdaplenary,,,,,
448462556173447168,https://twitter.com/N_Gregoire/status/448462556173447168,2014-03-25 14:13:00+00:00,The RDA newcomers session takes place at the Royal Irish Academy. Nice! #dublin #RDAPlenary http://t.co/UpP4NxUQ3H,en,0,N_Gregoire,https://pbs.twimg.com/media/BjlCUYTIIAAnRpT.jpg,,dublin,#rdaplenary,,,,,
448462611651526656,https://twitter.com/SandriCollins/status/448462611651526656,2014-03-25 14:13:13+00:00,Very proud to have our new President of the RIA opening the RDA Newcomers Session in @RIAdawson #RDAPlenary http://t.co/JwHusgM7w0,en,2,SandriCollins,https://pbs.twimg.com/media/BjlCXn6IQAEEzpZ.jpg,RIAdawson,RDAPlenary,#rdaplenary,,,,,
448464269831856128,https://twitter.com/atreloar/status/448464269831856128,2014-03-25 14:19:48+00:00,Providing an overview of @dri_ireland at the #RDAPlenary Overview for Newcomers session is @natalieharrower http://t.co/GpvYDeFP51,en,1,atreloar,https://pbs.twimg.com/media/BjlD4ItIEAAVfi_.jpg,dri_ireland,RDAPlenary,#rdaplenary,,,,,
448464275959734272,https://twitter.com/atreloar/status/448464275959734272,2014-03-25 14:19:50+00:00,RT @SandriCollins: Very proud to have our new President of the RIA opening the RDA Newcomers Session in @RIAdawson #RDAPlenary http://t.co/…,en,2,atreloar,https://pbs.twimg.com/media/BjlCXn6IQAEEzpZ.jpg,SandriCollins,RDAPlenary,#rdaplenary,,,,,
448464386500595712,https://twitter.com/andsdata/status/448464386500595712,2014-03-25 14:20:16+00:00,#andsdata is co-hosting #RDAPlenary 3. Learn more about ANDS by reading our latest newsletter – http://t.co/LImP0e4h52,en,0,andsdata,,,andsdata,#rdaplenary,http://ow.ly/uVEZ8,,,,
448465713679048704,https://twitter.com/gmcmahon/status/448465713679048704,2014-03-25 14:25:32+00:00,In @RIAdawson for the conference opening. #RDAPlenary,en,0,gmcmahon,,RIAdawson,RDAPlenary,#rdaplenary,,,,,
448465860882354176,https://twitter.com/myrmoteras/status/448465860882354176,2014-03-25 14:26:07+00:00,#rdaplenary RDA: make data sharing easier. Focus on infrastructur to accelerate global developments,en,0,myrmoteras,,,rdaplenary,#rdaplenary,,,,,
448465858760028160,https://twitter.com/natalieharrower/status/448465858760028160,2014-03-25 14:26:07+00:00,Full house @RIAdawson for newcomers' session #RDAPlenary http://t.co/IHtKWLuEvJ,en,4,natalieharrower,https://pbs.twimg.com/media/BjlFUoGIYAAFqB3.jpg,RIAdawson,RDAPlenary,#rdaplenary,,,,,
448466308154531840,https://twitter.com/chrdebru/status/448466308154531840,2014-03-25 14:27:54+00:00,RT @natalieharrower: Full house @RIAdawson for newcomers' session #RDAPlenary http://t.co/IHtKWLuEvJ,en,4,chrdebru,https://pbs.twimg.com/media/BjlFUoGIYAAFqB3.jpg,natalieharrower,RDAPlenary,#rdaplenary,,,,,
448467072230903810,https://twitter.com/natalieharrower/status/448467072230903810,2014-03-25 14:30:56+00:00,RDA vision and mission  #RDAPlenary http://t.co/uy98LtpGD8,en,0,natalieharrower,https://pbs.twimg.com/media/BjlGbQxIQAAEqTu.jpg,,RDAPlenary,#rdaplenary,,,,,
448468911957102594,https://twitter.com/rwwh/status/448468911957102594,2014-03-25 14:38:15+00:00,#rdaplenary Side symposium on data preservation this afternoon. Interesting venue. http://t.co/stfAlQAUg6,en,0,rwwh,,,rdaplenary,#rdaplenary,http://360.io/rcdPUa,,,53.3606716,-6.24977038
448470051537289216,https://twitter.com/Beck_Grant/status/448470051537289216,2014-03-25 14:42:47+00:00,RT @natalieharrower: Full house @RIAdawson for newcomers' session #RDAPlenary http://t.co/IHtKWLuEvJ,en,4,Beck_Grant,https://pbs.twimg.com/media/BjlFUoGIYAAFqB3.jpg,natalieharrower,RDAPlenary,#rdaplenary,,,,,
448471832262213632,https://twitter.com/andysmcleod/status/448471832262213632,2014-03-25 14:49:51+00:00,Heading to RDA Plenary tomorrow at Croke Park. Should be an interesting day! #RDAPlenary,en,0,andysmcleod,,,RDAPlenary,#rdaplenary,,,,,
448472096776409088,https://twitter.com/uberalex/status/448472096776409088,2014-03-25 14:50:54+00:00,"RT @gmcmahon: Useful app for navigating Dublin (public transport options, routes on foot) for out of town #RDAPlenary delegates: http://t.c…",en,1,uberalex,,gmcmahon,RDAPlenary,#rdaplenary,http://hittheroad.ie/,,,,
448472925751222272,https://twitter.com/natalieharrower/status/448472925751222272,2014-03-25 14:54:12+00:00,"Biggest difference I can see between IG and WG: the first are longer term, overarching. WG are shorter, targeted.  #RDAPlenary",en,0,natalieharrower,,,RDAPlenary,#rdaplenary,,,,,
448473696475557888,https://twitter.com/HermanStehouwer/status/448473696475557888,2014-03-25 14:57:16+00:00,RT @natalieharrower: Prof Mary Daly opens the RDA for Newcomers session #RDAPlenary http://t.co/RYz6CYIbKV,en,1,HermanStehouwer,https://pbs.twimg.com/media/BjlB8-xIgAAy16K.jpg,natalieharrower,RDAPlenary,#rdaplenary,,,,,
